id,firstName,gender,avenue_id,avenue_name,avenue_categories,avenue_lat,avenue_lng,cluster
484503812,Fer,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
6532455,Sarah,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
325835336,Rodrigo,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
3151862,Susan,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
33481755,Adalberto Luiz,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
71206817,♀ 💕 Madame Jennifer,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
4566715,Magdalena,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
150551671,Sawyer,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
21333547,Melissa,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
132469514,John,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
8533262,Fabio,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
18812337,Berker,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
7030996,Nami,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
2730148,Serena,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
2837937,Chevar,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
4427133,Maeve,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
58335580,Diana,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
119923861,Dee,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
13947849,Sezin,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
148715595,Selina,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
195491759,Suzy,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
331123747,David,none,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
213328292,Jordi,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
146236454,Alfredo,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
95190563,Ashley,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
24419482,Henry,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
4848235,Alexandra,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
25568540,Lillian,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
756012,Ashley,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
23914062,Saudifooodie,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
6870244,Marcello,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
19152,What's Good Here,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
81463098,Eleni,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
84751536,Maggie,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
2540795,Ian,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
52965410,Bryan,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
61183967,Menderes,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
21965408,Ryan,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
26025756,Yenisei,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
12338416,Johana,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
125665601,Silvina,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
947725,Michael,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
3476432,IrmaZandl,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,1.0
51180673,J.M.,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
10664905,Pecopelecopeco,male,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,0.0
12955364,Natalie,female,4c531929479fc9282b90ee90,Central Park West - W 86th St,Park,40.785416912200375,-73.96951937240297,2.0
65622443,Ximena,female,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,0.0
46222542,David,male,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,0.0
11904515,Amer,male,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,1.0
749960,Consuelo,female,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,1.0
22501148,Elaine vieira,female,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,0.0
71298,Robby,male,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,1.0
525352190,L,female,412d2800f964a520df0c1fe3,Central Park,Park,40.78408342593807,-73.96485328674315,0.0
